Iteration,Date,Category,Module,Change Title,Description,File(s) Modified,Lines / Location,Use Cases,Status,Notes
1.0,2026-04-09,Initial Build,State Management,Global state object,"Central reactive state: step, source, uploaded image, selections, signals, decision, orientation, issuer, bankTemplate, embosserReady",script.js,Lines 6–24,"UC: All modules read/write state for cross-module communication",Committed (ace3d8e),Single mutable object pattern
1.1,2026-04-09,Initial Build,Compliance,Restricted keyword lists,"Blacklists for celebrities (13), brands (10), political, religious, weapons, unsafe content + REWRITE_MAP for safe alternatives",script.js,Lines 26–43,"UC: Prompt contains 'iron man' → rewritten to 'armored warrior'. UC: Prompt with 'nike' → rewritten to 'athletic swoosh design'",Committed (ace3d8e),Six categories with synonym-based rewrites
1.2,2026-04-09,Initial Build,Embosser,Bank registry & template system,"AU BANK template with SVG mock card front/back, chip cutout, brand plate, name/number plates, magstripe, signature strip, CVV regions",script.js,Lines 45–160,"UC: Card art must preserve bank's embossable registration zones (chip, brand, name/number plates). UC: Different issuers can have different templates",Committed (ace3d8e),"Functions: buildAUBankFrontMock(), buildAUBankBackMock(), svgToDataURL(), fetchBankCardTemplate()"
1.3,2026-04-09,Initial Build,Embosser,Embosser artwork composition,"Canvas-based cover-fit composition: layers AI artwork onto bank template preserving DPI/dimensions, adds imperceptible registration marks",script.js,Lines 174–319,"UC: AI image is composited onto bank card template at correct dimensions for physical embossing. UC: Orientation-aware — horizontal vs vertical cards compose differently",Committed (ace3d8e),"Functions: loadImageEl(), drawImageCover(), composeEmbosserReadyArtwork(), prepareEmbosserOutput()"
1.4,2026-04-09,Initial Build,AI Providers,Provider configuration,"5 providers: Pollinations (free), Gemini (image-to-image), DALL-E 3, Grok, Stability AI. Metadata: label, needsKey, keyHint",script.js,Lines 321–351,"UC: Ops team selects which AI model generates customer artwork. UC: Pollinations works without API key for demos",Committed (ace3d8e),Only Gemini supports image-to-image editing
1.5,2026-04-09,Initial Build,Settings,localStorage settings store,"Persist provider selection and API keys across browser sessions",script.js,Lines 353–371,"UC: Ops configures Gemini API key → key persists on page reload. UC: Switching providers remembers previously entered keys",Committed (ace3d8e),"Key: 'hyperface.aiProvider'. Functions: loadSettings(), saveSettings()"
1.6,2026-04-09,Initial Build,Prompts,Full prompt builder,"Constructs generation prompt from style/mood/color/background selections + free-text. Adds 'luxury credit card art' and '4k detail' instructions",script.js,Lines 373–389,"UC: User selects watercolor+calm+warm+mountains → prompt combines all into coherent generation instruction",Committed (ace3d8e),Function: buildFullPrompt()
1.7,2026-04-09,Initial Build,Prompts,Edit prompt builder,"Image-to-image prompt for Gemini: aggressive wording to force heavy restyling while maintaining subject pose",script.js,Lines 394–415,"UC: User uploads selfie → edit prompt instructs Gemini to restyle as 'watercolor calm warm' while keeping face",Committed (ace3d8e),Function: buildEditPrompt()
1.8,2026-04-09,Initial Build,AI Providers,Image resizing utility,"Downsize uploaded images before API transmission via canvas. Configurable max dimension and JPEG quality",script.js,Lines 419–447,"UC: User uploads 4000x3000 photo → resized to 1024px max dimension at 0.9 quality before sending to Gemini",Committed (ace3d8e),"Function: resizeImageDataURL(dataURL, maxDim, quality)"
1.9,2026-04-09,Initial Build,AI Providers,Pollinations.ai provider,"Free text-to-image API. Supports width/height for orientation, seed for reproducibility, no auth required",script.js,Lines 451–466,"UC: Demo/sandbox usage without API keys. Vertical: 540x864, Horizontal: 864x540",Committed (ace3d8e),Function: generatePollinations()
